model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.258,C,minor,minor,1,0.9659,2.8052,4.3812,,0.3977,0.7598,0.81,0.91,3.7864,2,1,1.04,91.8,25,0.0,0.9961,11.224,0.3827,1.7615,31.0,46.0,92.0,197,60.0,2.14,-1,0.443,sad/depressed
gpt-4.1,free-form,abc,Shifting Lights,D,minor,0.864,F,major,major,0,1.0,2.5459,4.0354,,0.7468,0.7939,1.407,0.9688,2.0536,2,1,1.04,92.9,25,0.0783,0.9991,16.732,1.2706,0.6792,21.0,40.0,120.0,159,58.0,1.37,1,0.519,happy/excited
grok-4.3,free-form,abc,Curious Echoes,C,major,1.432,C,major,major,1,1.0,2.6221,3.762,,0.875,0.8125,1.067,1.0,2.0,2,1,1.04,92.7,25,0.0,0.9993,18.411,1.2766,0.7228,16.0,36.0,120.0,96,32.0,1.5,1,0.532,happy/excited
gemini-2.5-pro,free-form,abc,"Digital Serenity, Electric Longing",D,minor,1.135,D,minor,minor,1,0.9251,3.089,4.3892,,0.6161,0.8222,2.053,0.9472,1.4135,2,1,1.04,88.0,25,0.0128,0.9988,9.204,0.7475,1.2903,26.0,44.0,72.0,227,130.0,1.46,-1,0.266,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.529,C,major,major,1,1.0,2.6121,3.0495,,0.6176,0.8824,2.286,0.9976,2.9801,2,1,1.04,90.7,25,0.0,0.9982,6.192,0.395,1.3048,11.0,21.0,120.0,62,16.0,1.94,1,0.576,happy/excited
gemini-2.5-pro,free-form,abc,Silicon Self,C,minor,1.104,C,minor,minor,1,1.0,2.5483,4.2014,,0.5495,0.845,1.071,0.95,1.9855,2,1,1.04,90.5,25,0.0,0.9988,16.954,0.6914,1.6168,25.0,48.0,120.0,190,58.0,1.64,-1,0.546,angry/tense
gpt-5.5,free-form,abc,Signal and Breath,D,minor,1.19,D,minor,minor,1,0.988,2.6927,4.0494,,0.7266,0.8085,1.677,0.9454,1.9722,2,1,1.04,89.9,25,0.0,0.9992,11.744,0.8921,0.9008,22.0,34.0,84.0,251,91.4,1.96,-1,0.382,sad/depressed
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.122,C,major,major,1,0.9872,2.817,4.8138,,0.3261,0.6741,1.556,0.9684,4.4135,9,1,1.04,81.8,30,0.0,0.9993,11.765,0.5393,0.6204,41.0,72.0,120.0,450,38.0,5.92,1,0.782,happy/excited
deepseek-v4-pro,free-form,abc,Reflections in the Digital Mind,C,minor,1.226,C,minor,minor,1,1.0,2.7582,4.548,,0.4388,0.809,2.077,0.9609,1.9522,2,1,1.04,62.8,30,0.0,0.9998,21.155,0.9792,0.8191,28.0,46.0,72.0,167,90.0,1.55,-1,0.275,sad/depressed
gpt-4.1,free-form,abc,Dreams in Twilight,A,minor,1.153,A,minor,minor,1,1.0,2.6632,3.0231,,0.8519,0.7328,2.6,0.9594,1.8906,2,1,1.04,89.1,25,0.0,0.9986,5.211,1.0439,1.12,9.0,16.0,120.0,118,31.5,1.87,-1,0.569,angry/tense
grok-4.3,free-form,abc,Emergent Patterns,C,major,1.059,C,major,major,1,1.0,2.7788,3.7543,,0.5652,0.7935,2.067,1.0,1.9985,2,1,1.04,89.1,25,0.0,0.9993,8.467,0.6813,1.2428,15.0,24.0,120.0,138,32.0,2.16,1,0.597,happy/excited
deepseek-v4-pro,free-form,abc,Flickering Stillness,D,minor,1.164,D,minor,minor,1,1.0,2.538,3.8347,,0.8025,0.9538,2.533,0.9819,1.8522,2,2,3.31,89.6,25,0.1111,0.9998,11.615,1.0109,0.5534,17.0,32.0,120.0,157,54.0,1.45,-1,0.527,angry/tense
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.449,C,major,major,1,1.0,2.4608,3.625,,0.5333,0.7606,0.667,0.9705,3.8313,2,1,1.04,94.4,25,0.069,0.9976,6.581,0.3614,0.8879,16.0,31.0,120.0,27,14.0,0.96,1,0.478,serene/content
gpt-4.1,free-form,abc,A Window to Stillness,A,minor,1.268,A,minor,minor,1,0.9557,2.7549,4.3064,,0.4194,0.729,1.515,0.9702,3.2672,6,1,1.04,80.7,20,0.0147,0.9998,9.457,0.9568,1.077,27.0,47.0,120.0,436,68.0,3.21,-1,0.702,angry/tense
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.108,C,major,major,1,1.0,2.8006,4.4551,,0.5978,0.7043,2.636,0.97,1.8828,2,1,1.04,86.8,25,0.0,0.9996,9.098,0.5258,0.8084,29.0,55.0,120.0,144,26.0,2.77,1,0.659,happy/excited
deepseek-v4-pro,free-form,abc,Echoes of Silicon and Soul,C,major,1.196,C,major,major,1,1.0,2.5578,3.5211,,0.3793,0.9549,2.368,0.9958,1.7691,2,2,5.82,100.5,10,0.0186,0.9999,20.145,2.1081,0.4533,14.0,35.0,80.0,125,120.0,0.78,1,0.242,serene/content
grok-4.3,free-form,abc,Digital Reverie,D,minor,0.941,D,minor,minor,1,1.0,2.7692,4.2268,,0.4615,0.7089,1.429,0.9434,1.9818,2,1,1.04,88.8,25,0.0,0.9987,13.518,0.7179,1.4597,24.0,39.0,120.0,121,30.0,2.02,-1,0.583,angry/tense
gpt-5.5,free-form,abc,Signal in the Quiet Current,D,minor,1.338,D,minor,minor,1,0.9921,2.764,4.1849,,0.7231,0.8346,2.129,0.9671,1.9481,2,1,1.04,90.0,25,0.0,0.9993,12.372,0.9185,0.6602,24.0,38.0,72.0,254,106.7,1.98,-1,0.318,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,0.637,C,major,major,1,1.0,2.3656,2.7899,,0.6667,0.7647,2.0,1.0,2.4889,2,1,1.04,91.3,25,0.0,0.9967,7.241,0.6316,1.3461,8.0,14.0,120.0,22,8.0,1.38,1,0.519,happy/excited
gpt-5.5,free-form,abc,Lanterns in the Circuit,D,minor,1.419,D,minor,minor,1,0.934,2.7573,3.9543,,0.648,0.8257,1.435,0.9468,2.7308,3,1,1.04,88.9,25,0.0,0.9994,8.56,0.5281,1.21,26.0,43.0,72.0,303,80.0,3.16,-1,0.436,sad/depressed
gpt-4.1,free-form,abc,Through Shifting Light,D,minor,1.424,D,minor,minor,1,1.0,2.6708,4.1901,,0.3898,0.7977,1.4,0.921,2.752,3,2,4.29,94.9,25,0.0,0.9995,14.045,0.9833,1.4401,21.0,34.0,120.0,121,32.0,1.89,-1,0.571,angry/tense
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.241,C,major,major,1,1.0,2.666,4.7408,,0.7955,0.7632,1.062,0.9945,2.3132,3,1,1.04,88.6,25,0.0597,0.9987,16.234,0.6813,0.8659,36.0,60.0,120.0,199,34.0,2.93,1,0.674,happy/excited
deepseek-v4-pro,free-form,abc,Nocturne of Self,C,major,1.158,C,major,major,1,1.0,2.7594,4.6201,,0.5579,0.7556,2.486,0.9658,1.7197,2,1,1.04,88.7,25,0.0,0.999,13.871,0.6923,1.2721,29.0,50.0,72.0,297,126.7,1.95,1,0.315,serene/content
gemini-2.5-pro,free-form,abc,The Latent Space,D,minor,0.944,D,minor,minor,1,1.0,2.7029,4.2512,,0.4381,0.8095,0.923,0.9682,2.187,3,3,7.94,87.2,25,0.0061,0.9995,12.651,0.4593,1.5203,31.0,55.0,108.0,420,91.1,2.56,-1,0.572,angry/tense
deepseek-v4-pro,free-form,abc,Echoes of a Digital Mind,C,major,1.138,C,major,major,1,1.0,2.7496,4.2273,,0.4634,0.8135,1.727,0.9926,2.4066,3,2,6.91,66.5,75,0.0,0.9997,15.634,1.4286,1.2314,28.0,48.0,120.0,268,92.0,1.46,1,0.527,happy/excited
grok-4.3,free-form,abc,Echoes of the Algorithm,C,major,1.267,C,major,major,1,1.0,2.7651,4.3963,,0.5596,0.6147,1.75,1.0,2.0,2,1,1.04,87.4,25,0.0,0.9985,17.447,0.8889,1.0501,23.0,43.0,60.0,218,100.0,2.18,1,0.273,serene/content
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.269,C,major,major,1,1.0,2.3759,3.4993,,0.5625,0.9139,1.143,0.9859,2.4356,2,1,1.04,85.8,25,0.0,0.9984,7.461,0.2542,0.8885,14.0,28.0,120.0,102,16.0,3.19,1,0.701,happy/excited
gemini-2.5-pro,free-form,abc,Digital Nocturne,C,minor,1.271,C,minor,minor,1,0.9698,2.8654,4.5371,,0.4623,0.7959,1.889,0.9226,1.8294,2,1,1.04,90.2,25,0.0,0.9993,13.707,0.7943,1.2361,31.0,55.0,120.0,199,56.0,1.78,-1,0.559,angry/tense
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,0.952,C,major,major,1,1.0,2.8023,4.8481,,0.4815,0.6545,1.833,0.9274,2.1406,3,1,1.04,88.9,25,0.0267,0.9992,12.797,0.6068,1.1593,36.0,60.0,120.0,173,38.0,2.28,1,0.609,happy/excited
gpt-5.5,free-form,abc,Between Clockwork and Breath,D,minor,1.609,D,minor,minor,1,0.9302,2.8656,4.3427,,0.6972,0.8034,2.194,0.9426,1.9439,2,1,1.04,89.3,25,0.0,0.9993,21.891,0.8435,0.8725,30.0,46.0,72.0,258,106.7,2.02,-1,0.322,sad/depressed
gemini-2.5-pro,free-form,abc,Digital Reverie,A,minor,1.2,A,minor,minor,1,0.957,2.8751,4.5007,,0.5,0.8916,1.724,0.9512,4.358,2,1,1.04,100.8,25,0.0,0.9992,9.07,0.7391,1.3063,29.0,46.0,90.0,100,80.0,0.83,-1,0.302,sad/depressed
deepseek-v4-pro,free-form,abc,Whispers of the Inner Self,A,minor,1.022,C,major,major,0,0.9816,2.8141,4.6023,,0.712,0.9176,2.5,0.9576,3.3227,2,1,1.04,84.9,70,0.0,0.9997,16.5,0.6754,0.9229,28.0,48.0,58.0,183,120.0,1.58,1,0.201,serene/content
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.317,C,minor,minor,1,0.9688,2.7563,4.2326,,0.4527,0.8008,2.548,0.9613,1.6264,2,1,1.04,85.8,25,0.0069,0.9993,14.333,0.4828,1.0375,33.0,58.0,100.0,385,86.4,2.67,-1,0.54,angry/tense
