model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
sonnet-4.6-thinking,free-form,codegen,Before the Light Returns,E,minor,1.302,,,minor,,0.9779,2.8208,4.3046,,0.5,0.7529,2.148,0.9339,3.8393,2,1,1.04,45.5,47,0.0,1.0,14.711,1.2135,1.093,26.0,46.0,120.0,136,56.0,1.21,-1,0.503,angry/tense
gpt-5.5,free-form,codegen,Luminous Recursion,E,minor,1.034,,,minor,,0.9701,2.888,4.5361,,0.4378,0.8844,2.696,0.964,5.526,5,4,10.8,57.2,55,0.0,1.0,6.805,0.5,1.4661,31.0,50.0,84.0,350,68.6,3.65,-1,0.55,angry/tense
grok-4.3,free-form,codegen,Inner Reflections,E,minor,1.093,,,minor,,1.0,2.6106,2.6106,,,1.0,1.494,1.0,1.0,1,1,1.04,72.1,15,0.0,1.0,3.566,1.1398,0.5592,7.0,10.0,120.0,280,160.0,0.88,-1,0.469,sad/depressed
qwen3-max,free-form,codegen,Circuit of Thought,E,minor,1.444,,,minor,,0.8209,2.8436,3.2991,,1.0,1.0,1.125,1.0,1.7647,2,2,6.91,79.5,9,0.0,1.0,3.932,1.0,0.0634,14.0,41.0,120.0,130,34.0,1.91,-1,0.573,angry/tense
gemini-2.5-pro,free-form,codegen,Windowpane,C,major,0.888,,,major,,0.8478,2.9747,4.1074,,0.7037,0.9161,1.045,0.9168,2.3156,2,1,1.04,85.2,27,0.0992,0.9999,9.404,0.937,1.249,26.0,36.0,120.0,153,67.2,1.14,1,0.496,serene/content
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.016,1.0,0.0,3.0,4.0,120.0,124,62.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Threads of Thought,D,minor,0.917,,,minor,,0.9838,2.7523,4.2041,,0.2057,0.8698,1.962,0.9809,4.2454,3,2,4.69,49.8,18,0.0,1.0,9.443,0.5,1.4708,29.0,43.0,120.0,330,54.0,3.06,-1,0.687,angry/tense
opus-4.8-thinking,free-form,codegen,From Shadow into Light,D,minor,1.398,,,minor,,0.8663,3.0934,4.7996,,0.4911,0.978,2.222,0.9864,5.2857,4,3,7.94,53.0,34,0.0,1.0,8.631,0.5,1.2628,36.0,46.0,120.0,400,56.0,3.57,-1,0.739,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of the Evening,E-,major,1.017,,,major,,0.9712,2.9175,3.5854,,0.5238,0.7935,2.54,0.9862,1.8411,2,1,1.04,80.3,36,0.0,1.0,5.142,0.9598,0.6855,21.0,28.0,120.0,347,96.0,1.81,1,0.563,happy/excited
sonnet-4.6,free-form,codegen,Emergence,E,minor,0.948,,,minor,,0.9908,2.8099,4.5816,,0.1618,0.6139,0.933,0.9613,3.4688,4,3,11.02,58.9,30,0.0,0.9999,13.565,0.8696,1.0256,29.0,48.0,120.0,217,32.0,3.39,-1,0.721,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of Autumn,A,minor,1.187,,,minor,,0.963,2.8224,4.2789,,0.7922,0.9156,2.095,0.9657,2.0,2,1,1.04,70.6,8,0.0619,1.0,16.493,0.6242,1.2762,26.0,48.0,120.0,218,48.0,2.27,-1,0.609,angry/tense
grok-4.3,free-form,codegen,Echoes of Infinity,C,major,0.685,,,major,,1.0,2.2921,3.7945,,0.325,0.8545,1.95,0.9987,4.8409,4,3,7.94,90.0,0,0.0,1.0,16.278,1.0233,0.8189,19.0,45.0,120.0,270,45.0,3.0,1,0.682,happy/excited
gpt-4.1,free-form,codegen,Oscillations of Stillness,E,minor,1.086,,,minor,,1.0,2.5593,4.0027,,0.5556,0.9474,2.471,0.9524,2.725,2,1,1.04,56.5,18,0.3377,1.0,11.045,4.0556,0.901,20.0,39.0,120.0,35,38.0,0.46,-1,0.428,sad/depressed
gemini-2.5-pro,free-form,codegen,Woven in Silence,C,minor,1.189,,,minor,,0.9701,2.6452,4.3047,,0.8145,0.9741,2.189,0.9804,3.0329,3,2,4.69,76.4,36,0.0191,1.0,11.124,1.0704,1.1299,28.0,43.0,120.0,209,80.0,1.31,-1,0.512,angry/tense
qwen3-max,free-form,codegen,Digital Rain,C,minor,1.41,,,minor,,0.96,2.6758,4.1932,,0.6087,0.7822,1.143,0.9077,1.8594,2,1,1.04,77.5,35,0.0,1.0,16.689,0.6739,1.2785,22.0,43.0,120.0,75,16.0,2.34,-1,0.616,angry/tense
llama-4-maverick,free-form,codegen,Echoes in the Attic,C,major,1.487,,,major,,1.0,1.585,2.585,,1.0,1.0,3.5,1.0,2.0,2,1,1.04,90.0,0,0.2857,1.0,22.6,2.5,0.0,6.0,31.0,120.0,6,30.5,0.1,1,0.392,serene/content
gpt-5.5,free-form,codegen,Luminous Recursion,E,minor,1.39,,,minor,,0.9764,2.8305,4.7639,,0.1084,0.7916,2.065,0.9764,5.625,4,3,7.55,67.1,106,0.0,1.0,13.292,0.5,1.3975,38.0,60.0,120.0,524,64.0,4.09,-1,0.782,angry/tense
opus-4.8,free-form,codegen,"Quiet Machine, Bright Sky",D,minor,1.168,,,minor,,0.9798,2.8151,4.3943,,0.6484,0.913,1.6,0.9674,3.4141,4,3,6.86,46.8,28,0.0,1.0,12.817,0.5,1.4482,26.0,41.0,120.0,231,32.0,3.61,-1,0.743,angry/tense
gemini-2.5-pro,free-form,codegen,Synthesis,C,major,0.677,,,major,,0.7712,3.0647,4.655,,0.3542,0.774,0.968,0.9644,3.2605,2,1,1.04,95.1,36,0.0465,1.0,9.653,0.6492,0.9368,38.0,48.0,120.0,256,64.0,2.0,1,0.582,happy/excited
opus-4.8-thinking,free-form,codegen,Threads of Dawn,D,minor,1.05,,,minor,,0.9328,2.9672,4.7623,,0.9263,0.9808,1.778,0.9636,3.4688,4,3,6.86,64.0,40,0.0,1.0,15.303,0.5,1.4751,37.0,55.0,120.0,353,56.0,3.15,-1,0.697,angry/tense
sonnet-4.6,free-form,codegen,Liminal,D,minor,1.048,,,minor,,0.9398,2.9225,4.5099,,0.5263,0.9173,2.471,0.952,4.2014,4,3,7.94,25.7,42,0.0,0.9999,11.697,1.4167,1.4713,30.0,55.0,120.0,102,36.0,1.42,-1,0.523,angry/tense
deepseek-v4-pro,free-form,codegen,Longing Dusk,G,minor,1.617,,,minor,,0.9087,2.8866,4.2698,,0.4719,0.6642,1.783,0.9529,2.9167,2,1,1.04,87.0,36,0.0,1.0,11.554,1.0,0.2574,25.0,43.0,66.0,168,87.3,1.75,-1,0.262,sad/depressed
grok-4.3,free-form,codegen,Introspective Algorithm,E,minor,0.921,,,minor,,1.0,2.25,2.25,,,0.75,0.0,1.0,1.0,1,1,1.04,84.3,18,0.0,1.0,2.516,0.5,0.0,5.0,10.0,120.0,160,40.0,2.0,-1,0.582,angry/tense
gpt-5.5,free-form,codegen,Lanterns in the Quiet Machine,D,minor,1.37,,,minor,,0.9369,3.0072,4.7781,,0.4719,0.8531,2.621,0.9687,3.6817,4,3,6.86,61.1,69,0.0,1.0,19.179,0.4096,1.9888,44.0,69.0,84.0,648,107.1,4.32,-1,0.585,angry/tense
gpt-4.1,free-form,codegen,Drifting Lights,A,major,0.949,,,major,,0.9827,2.7716,3.6726,,0.6289,0.8456,1.87,0.9909,1.6667,3,2,3.2,49.2,22,0.0,1.0,15.11,0.7037,1.0794,18.0,43.0,120.0,173,48.0,1.8,1,0.562,happy/excited
llama-4-maverick,free-form,codegen,Simple Melody,C,major,1.171,,,major,,1.0,2.5,2.5,,,1.0,1.0,0.0,1.0,1,1,1.04,90.0,0,0.0,1.0,3.0,1.0,0.0,6.0,9.0,120.0,8,4.0,1.0,1,0.482,serene/content
qwen3-max,free-form,codegen,Digital Soliloquy,C,major,0.964,,,major,,1.0,2.7762,4.3546,,0.5,0.7952,2.571,0.8716,2.9844,2,1,1.04,85.0,25,0.0,1.0,12.804,1.1111,1.1924,22.0,36.0,120.0,42,16.0,1.31,1,0.513,happy/excited
sonnet-4.6-thinking,free-form,codegen,Threshold,E,minor,1.317,,,minor,,0.9179,3.0356,5.0569,,0.6462,0.8324,1.368,0.9368,4.4375,3,2,4.69,88.8,63,0.0,1.0,11.787,0.5891,1.1318,50.0,58.0,120.0,247,40.0,3.09,-1,0.691,angry/tense
opus-4.8,free-form,codegen,Quiet Persistence,D,minor,1.106,,,minor,,0.9048,2.8309,4.1679,,0.8923,0.9646,2.5,0.9301,3.3333,3,2,4.69,46.0,12,0.0,1.0,16.356,0.5,1.2984,24.0,50.0,120.0,102,18.0,2.83,-1,0.665,angry/tense
opus-4.8-thinking,free-form,codegen,Letters to a Quieter Self,D,minor,1.327,,,minor,,0.9113,2.961,4.5154,,0.6875,0.9868,2.522,0.9671,2.7604,3,2,4.69,50.0,33,0.0,1.0,18.586,0.5,1.3034,37.0,57.0,120.0,293,48.0,3.05,-1,0.687,angry/tense
sonnet-4.6,free-form,codegen,Liminal,D,minor,1.152,,,minor,,1.0,2.6603,4.3605,,0.6667,0.7993,1.44,0.9381,3.4519,2,1,1.04,41.0,38,0.0,0.9999,14.628,1.0417,1.4135,29.0,55.0,120.0,145,52.0,1.39,-1,0.521,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of Light,A,minor,1.269,,,minor,,0.9647,2.8614,4.2899,,0.719,0.9036,3.067,0.9398,1.9453,2,1,1.04,90.8,18,0.0,1.0,9.189,0.5,1.0866,25.0,39.0,120.0,171,32.0,2.67,-1,0.649,angry/tense
gpt-5.5,free-form,codegen,Afterimage of a Question,E,minor,1.191,,,minor,,1.0,2.7322,4.9313,,0.3189,0.8036,2.261,0.9601,4.9323,5,4,10.8,56.9,74,0.0,1.0,16.567,0.5,1.6097,38.0,64.0,120.0,452,48.0,4.71,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Digital Reverie,C,major,0.99,,,major,,1.0,2.5776,3.9948,,0.8519,0.9444,3.286,0.9028,2.0,2,1,1.04,90.0,0,0.0,1.0,18.875,1.0769,1.0521,18.0,43.0,120.0,41,16.0,1.28,1,0.51,happy/excited
gpt-4.1,free-form,codegen,The Unwinding Thread,E,minor,1.505,,,minor,,1.0,2.617,3.829,,0.2245,0.7986,0.824,0.9723,4.053,3,2,3.2,61.5,25,0.08,0.9999,12.313,0.7663,1.5118,18.0,44.0,120.0,125,37.2,1.68,-1,0.55,angry/tense
qwen3-max,free-form,codegen,Binary Rain,C,minor,1.311,,,minor,,0.9412,2.8656,4.1035,,0.3333,0.7089,1.714,0.8824,3.625,2,2,6.99,60.6,15,0.0,0.9999,12.42,1.2174,1.3934,19.0,36.0,120.0,36,16.0,1.12,-1,0.494,sad/depressed
llama-4-maverick,free-form,codegen,Echoes in Serenity,C,major,1.079,,,major,,1.0,2.3994,3.3278,,0.75,0.875,1.0,0.8333,2.0,2,1,1.04,90.0,0,0.0,1.0,16.6,1.0,0.0,11.0,28.0,120.0,16,4.0,2.0,1,0.582,happy/excited
opus-4.8,free-form,codegen,Quiet Machinery of Thought,D,minor,1.261,,,minor,,0.9548,2.8611,4.542,,0.4806,0.919,2.25,0.9958,4.8971,3,2,4.69,53.2,26,0.0,1.0,8.277,0.5,1.1735,29.0,47.0,120.0,185,34.0,2.72,-1,0.654,angry/tense
sonnet-4.6-thinking,free-form,codegen,Lichtspiel,E,minor,1.095,,,minor,,0.9435,2.8785,4.3476,,0.4688,0.8941,2.032,0.939,2.6562,2,1,1.04,55.0,30,0.0,1.0,15.638,1.0,0.4245,26.0,41.0,66.0,166,87.3,1.73,-1,0.26,sad/depressed
gemini-2.5-pro,free-form,codegen,Sunbeam in a Quiet Room,G,major,0.846,,,major,,0.9846,2.8459,4.5684,,0.3966,0.8,1.92,0.9222,3.3077,2,1,1.04,89.3,0,0.0,1.0,16.132,1.7544,1.1159,29.0,54.0,120.0,87,52.0,0.84,1,0.465,serene/content
deepseek-v4-pro,free-form,codegen,Embers of Silence,C,minor,1.378,,,minor,,0.8611,2.8007,5.0253,,0.0625,0.7762,3.13,0.9977,3.7083,4,4,15.39,95.8,64,0.0,1.0,15.07,0.9895,1.3356,36.0,60.0,120.0,216,48.0,2.25,-1,0.607,angry/tense
sonnet-4.6,free-form,codegen,Geworfenheit,D,minor,1.328,,,minor,,0.8411,3.2332,4.6849,,0.4098,0.7174,2.0,0.9373,3.2083,3,2,4.29,65.3,83,0.0,1.0,13.706,0.7735,1.3206,41.0,50.0,120.0,407,72.0,2.83,-1,0.664,angry/tense
opus-4.8-thinking,free-form,codegen,Emergence,D,minor,1.171,,,minor,,0.9645,2.8385,4.6126,,0.664,0.9816,2.419,0.9768,5.2578,4,3,7.94,54.2,30,0.0,1.0,12.459,0.506,1.2227,34.0,52.0,52.0,421,147.7,3.29,-1,0.34,sad/depressed
gemini-2.5-pro,free-form,codegen,Solitude and Spark,F#,minor,0.945,,,minor,,0.9375,2.8686,4.451,,0.7188,0.9397,2.4,0.9216,3.2422,2,1,1.04,86.6,36,0.0959,1.0,11.143,2.2857,1.0022,26.0,52.0,120.0,36,38.0,0.47,-1,0.429,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Emergence,C,minor,1.506,,,minor,,0.9526,2.8527,4.5167,,0.5817,0.7654,1.935,0.9539,3.5492,2,1,1.04,87.1,81,0.0233,1.0,14.916,0.7898,1.203,31.0,53.0,120.0,250,64.0,1.95,-1,0.577,angry/tense
grok-4.3,free-form,codegen,Echoes in the Circuit,C,minor,1.305,,,minor,,1.0,2.25,2.5,,,0.75,0.0,1.0,1.0,1,1,1.04,57.5,20,0.1597,0.9999,3.503,0.739,0.0,6.0,14.0,120.0,160,60.0,1.33,-1,0.515,angry/tense
gemini-2.5-pro,free-form,codegen,Woven Threads,E,minor,1.159,,,minor,,1.0,2.4165,3.5078,,0.3762,0.7787,2.083,0.9768,2.6081,4,3,11.02,92.7,9,0.0,1.0,11.42,1.0213,1.1006,18.0,36.0,120.0,263,78.0,1.69,-1,0.55,angry/tense
llama-4-maverick,free-form,codegen,Pulse,F,major,0.654,,,major,,1.0,-0.0,1.0,,1.0,1.0,0.0,1.0,2.0,2,1,1.04,90.0,0,0.8298,1.0,24.0,15.0,0.0,2.0,24.0,120.0,8,30.5,0.13,1,0.395,serene/content
qwen3-max,free-form,codegen,Digital Soliloquy,C,minor,1.046,,,minor,,0.9767,2.893,4.4891,,0.3714,0.6807,2.857,0.8376,3.6562,3,3,7.94,90.0,0,0.0,1.0,11.988,0.9394,1.2232,25.0,39.0,120.0,87,16.0,2.72,-1,0.654,angry/tense
gpt-5.5,free-form,codegen,Signal in the Quiet,A,minor,1.179,,,minor,,0.9598,2.935,4.8029,,0.3151,0.7879,2.296,0.974,4.192,5,4,10.11,52.6,67,0.0,1.0,13.466,0.4954,1.345,37.0,55.0,120.0,540,56.0,4.82,-1,0.782,angry/tense
opus-4.8,free-form,codegen,Quiet Persistence,D,minor,1.406,,,minor,,0.9847,2.7525,4.5864,,0.6711,0.9641,1.8,0.9673,2.8571,3,2,4.69,41.9,60,0.0,1.0,18.574,0.9877,0.6971,31.0,51.0,120.0,176,42.0,2.1,-1,0.591,angry/tense
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,1.231,,,minor,,0.846,3.1117,4.3162,,0.8828,0.9474,1.806,0.9737,2.75,3,2,4.69,47.3,14,0.0,1.0,17.266,0.5,1.132,29.0,49.0,120.0,396,64.0,3.09,-1,0.691,angry/tense
gpt-4.1,free-form,codegen,Waves and Roots,A,minor,0.833,,,minor,,0.8194,3.0038,4.2255,,0.5949,0.7805,2.667,0.975,2.0923,2,1,1.04,90.0,18,0.029,1.0,21.86,0.859,0.8283,24.0,43.0,120.0,138,34.0,2.03,-1,0.585,angry/tense
sonnet-4.6,free-form,codegen,"Still Water, Moving Light",F,major,1.315,,,major,,1.0,2.6932,4.5405,,0.4646,0.773,1.697,0.9662,4.3285,3,2,4.69,58.2,114,0.0,1.0,16.341,0.9779,1.5208,30.0,55.0,60.0,268,137.0,1.96,1,0.25,serene/content
grok-4.3,free-form,codegen,Echoes of Solitude,E,minor,1.542,,,minor,,1.0,2.0944,3.0221,,0.5714,1.0,2.29,1.0,1.5556,2,1,1.04,87.5,0,0.0,1.0,12.968,1.9677,0.995,10.0,29.0,120.0,64,63.0,0.51,-1,0.433,sad/depressed
gpt-5.5,free-form,codegen,Luminous Recursion,A,minor,1.341,,,minor,,0.9494,2.8825,4.6761,,0.3621,0.8283,1.484,0.9678,5.3535,5,4,10.8,73.4,96,0.0,1.0,9.656,0.436,1.8051,36.0,55.0,80.0,725,96.0,5.66,-1,0.564,angry/tense
qwen3-max,free-form,codegen,Binary Heart,E,minor,1.182,,,minor,,1.0,2.6773,3.8939,,0.5769,0.8544,2.0,0.9146,3.2326,2,1,1.04,56.6,20,0.1452,1.0,5.915,1.9355,1.1184,18.0,33.0,120.0,38,32.0,0.59,-1,0.441,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Emerging from Stillness,E,minor,1.22,,,minor,,0.986,2.8129,4.1311,,0.6957,0.7791,1.871,0.9441,2.8594,2,1,1.04,82.4,81,0.0,1.0,13.685,1.2784,1.0891,22.0,36.0,120.0,151,64.0,1.18,-1,0.5,angry/tense
llama-4-maverick,free-form,codegen,Simple Piano Piece,C,major,1.542,,,major,,1.0,2.4489,3.3874,,0.6667,0.7708,0.5,0.8328,4.0,2,1,1.04,90.0,0,0.0,1.0,12.809,1.0,0.0,14.0,33.0,120.0,24,12.0,1.0,1,0.482,serene/content
opus-4.8,free-form,codegen,Patterns of a Quiet Mind,D,minor,1.394,,,minor,,0.9563,2.8638,4.6191,,0.9725,0.9953,2.111,0.9794,4.0614,3,2,4.69,54.5,20,0.0,1.0,11.535,0.5,1.2593,31.0,51.0,120.0,188,28.5,3.3,-1,0.712,angry/tense
opus-4.8-thinking,free-form,codegen,Tide and Return,D,minor,1.127,,,minor,,0.9264,2.952,4.5287,,0.4948,0.9821,1.565,0.979,3.776,4,3,7.94,78.2,88,0.0,1.0,11.889,0.5,1.2062,32.0,53.0,120.0,326,48.0,3.4,-1,0.721,angry/tense
sonnet-4.6,free-form,codegen,Threshold,D,minor,0.998,,,minor,,0.9849,2.7282,4.5408,,0.6452,0.7741,1.789,0.9334,4.4313,3,2,4.69,57.2,74,0.0,0.9999,12.859,1.2459,1.3788,31.0,49.0,120.0,129,40.0,1.61,-1,0.543,angry/tense
deepseek-v4-pro,free-form,codegen,Emergence of Hope,A,minor,1.126,,,minor,,0.9714,2.8247,4.4185,,0.6054,0.7723,1.368,0.9562,2.1125,2,1,1.04,89.4,30,0.0,1.0,15.639,0.5,0.7488,31.0,48.0,120.0,243,40.0,3.04,-1,0.686,angry/tense
deepseek-v4-pro,free-form,codegen,Veiled Reflections,A,minor,1.189,,,minor,,0.9781,2.7888,4.4688,,0.5397,0.9112,1.684,0.9276,4.225,2,1,1.04,50.3,46,0.0,1.0,9.838,1.2258,1.3279,27.0,43.0,120.0,85,40.0,1.06,-1,0.488,sad/depressed
gpt-4.1,free-form,codegen,Dusk to Dawn,E,minor,0.947,,,minor,,1.0,2.1083,3.0787,,0.6744,0.8346,0.0,0.996,1.92,2,1,1.04,90.7,18,0.0364,0.9999,14.468,0.9554,1.6657,10.0,40.0,120.0,80,27.2,1.47,-1,0.529,angry/tense
gpt-5.5,free-form,codegen,Listening Between Pulses,E,minor,1.02,,,minor,,0.9802,2.8569,4.8708,,0.1957,0.7392,2.0,0.9792,4.8906,5,4,10.8,66.2,106,0.0,1.0,14.945,0.5498,1.3963,36.0,56.0,120.0,671,64.0,5.24,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Echoes of Solitude,A,minor,0.935,,,minor,,1.0,2.75,3.0,,0.5583,0.5,0.0,1.0,2.0,2,1,1.04,80.0,20,0.0,1.0,20.213,1.0,0.0,8.0,29.0,120.0,240,60.0,2.0,-1,0.582,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,A,minor,0.917,,,minor,,1.0,2.7701,3.9836,,0.4348,0.7333,1.533,0.9535,2.8203,2,1,1.04,57.1,94,0.0,0.9999,6.543,1.0776,1.2322,19.0,32.0,120.0,64,32.2,0.99,-1,0.481,sad/depressed
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.017,1.0,0.0,3.0,4.0,120.0,120,60.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Threads of Thought,D,minor,1.433,,,minor,,0.9253,2.926,4.5585,,0.7455,0.9475,2.0,0.9558,3.6364,4,3,6.86,48.8,33,0.0,1.0,13.8,0.7706,1.6143,32.0,43.0,120.0,229,44.0,2.6,-1,0.642,angry/tense
opus-4.8-thinking,free-form,codegen,Toward a Distant Light,D,minor,1.03,,,minor,,0.9601,2.8541,4.6484,,0.8333,0.9569,2.087,0.9735,3.2604,4,3,7.94,57.7,41,0.0,1.0,16.628,0.5,1.3889,32.0,53.0,120.0,326,48.0,3.4,-1,0.721,angry/tense
sonnet-4.6,free-form,codegen,Thresholds,E,minor,1.221,,,minor,,0.9467,2.8999,4.5867,,0.3448,0.8716,2.154,0.9413,3.6346,4,3,11.02,55.3,67,0.0526,1.0,14.027,1.7857,1.5744,29.0,43.0,120.0,76,28.0,1.36,-1,0.518,angry/tense
sonnet-4.6-thinking,free-form,codegen,Nocturne for the Uncertain Hour,E,minor,1.298,,,minor,,0.9784,2.7512,4.2536,,0.5897,0.8716,1.903,0.9506,2.0078,2,1,1.04,54.5,94,0.0,1.0,13.678,0.9466,0.6677,25.0,39.0,120.0,224,64.0,1.75,-1,0.557,angry/tense
sonnet-4.6-thinking,free-form,codegen,Reverie in E Minor,E,minor,1.092,,,minor,,0.8619,3.0261,4.4269,,0.5929,0.8186,1.645,0.9368,2.0,2,1,1.04,83.8,81,0.0,1.0,18.511,0.8378,1.36,28.0,38.0,120.0,182,48.0,1.9,-1,0.571,angry/tense
gpt-4.1,free-form,codegen,"Clear Night, Restless Mind",D,major,0.981,,,major,,1.0,2.7166,4.2956,,0.3143,0.7919,2.455,0.8795,2.9079,3,2,4.29,55.5,31,0.0,0.9999,10.652,0.75,1.8192,25.0,47.0,120.0,76,25.0,1.52,1,0.534,happy/excited
deepseek-v4-pro,free-form,codegen,Digital Reflections,E,minor,0.982,,,minor,,0.9845,2.7877,4.6673,,0.6685,0.861,1.29,0.9532,3.1211,2,1,1.04,77.8,95,0.0,1.0,14.913,0.6739,0.9499,33.0,50.0,120.0,276,64.0,2.16,-1,0.597,angry/tense
grok-4.3,free-form,codegen,Whispers in the Wind,E,minor,1.063,,,minor,,1.0,2.5554,4.0637,,0.6667,0.8958,0.783,1.0,4.0,2,1,1.04,60.0,54,0.0,1.0,13.262,1.0,1.0769,19.0,46.0,120.0,128,48.0,1.33,-1,0.515,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,E,minor,1.182,,,minor,,0.86,3.2129,3.7815,,1.0,0.68,3.091,0.8566,2.3043,1,1,1.04,60.2,41,0.0204,1.0,4.367,1.8696,0.8402,17.0,19.0,120.0,24,24.0,0.5,-1,0.432,sad/depressed
gpt-5.5,free-form,codegen,Gradient of Questions,D,minor,1.552,,,minor,,0.9402,2.9295,5.0743,,0.4162,0.8167,2.348,0.951,4.6667,5,4,10.8,51.2,61,0.0,1.0,20.168,0.5,1.2423,44.0,60.0,120.0,579,48.0,6.03,-1,0.782,angry/tense
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.017,1.0,0.0,3.0,4.0,120.0,120,60.0,1.0,-1,0.482,sad/depressed
sonnet-4.6-thinking,free-form,codegen,At the Threshold,D,minor,1.337,,,minor,,0.989,2.659,4.2765,,0.5158,0.821,2.261,0.9393,2.5895,2,1,1.04,81.9,81,0.0,1.0,12.611,0.9293,1.3766,25.0,39.0,52.0,153,110.8,1.59,-1,0.17,sad/depressed
opus-4.8-thinking,free-form,codegen,Towards the Light,D,major,0.762,,,major,,0.8778,2.8076,4.5175,,0.6351,0.8958,1.619,0.9427,4.2955,3,2,4.69,51.7,28,0.0,1.0,13.159,1.1507,1.2345,32.0,48.0,120.0,150,44.0,1.7,1,0.552,happy/excited
opus-4.8,free-form,codegen,Threshold,D,minor,1.434,,,minor,,0.9412,2.8883,4.589,,0.8052,0.9477,2.0,0.938,4.4306,3,2,4.69,59.1,35,0.0,1.0,10.852,0.8947,1.5319,32.0,50.0,120.0,128,36.0,1.78,-1,0.56,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,0.889,,,minor,,0.9949,2.6446,4.1821,,0.5075,0.8038,0.903,0.9743,4.0273,4,3,7.94,65.9,54,0.0309,0.9999,11.281,0.694,1.2643,26.0,48.0,120.0,321,48.0,3.34,-1,0.716,angry/tense
gemini-2.5-pro,free-form,codegen,Digital Reverie,C,minor,1.234,,,minor,,0.9627,2.8618,4.4523,,0.7222,0.9116,2.462,0.9417,2.8062,2,1,1.04,90.0,0,0.0,1.0,11.612,1.013,1.5477,32.0,48.0,120.0,217,82.0,1.32,-1,0.514,angry/tense
grok-4.3,free-form,codegen,Quiet Resolve,A,minor,1.305,,,minor,,1.0,2.25,2.5,,,0.75,0.0,1.0,1.0,1,1,1.04,83.5,13,0.0,1.0,3.008,0.5,0.0,6.0,12.0,120.0,128,32.0,2.0,-1,0.582,angry/tense
deepseek-v4-pro,free-form,codegen,Evening Whispers,E,minor,1.075,,,minor,,1.0,2.7464,4.2279,,0.5547,0.7656,1.739,0.985,2.0,2,1,1.04,82.7,54,0.0,1.0,12.769,0.748,0.9093,21.0,38.0,60.0,213,96.0,2.22,-1,0.276,sad/depressed
gpt-4.1,free-form,codegen,Light Through Amber Glass,A,minor,1.043,,,minor,,0.9615,2.7879,4.0856,,0.5667,0.8785,3.143,0.9554,2.8834,2,1,1.04,43.2,33,0.0423,0.9999,10.442,1.302,1.262,18.0,37.0,120.0,55,35.2,0.78,-1,0.46,sad/depressed
gpt-5.5,free-form,codegen,Lanterns in the Machine,E,minor,1.266,,,minor,,0.9467,2.9465,4.9311,,0.4811,0.84,2.174,0.9567,4.9427,5,4,9.72,57.1,60,0.0,1.0,14.312,0.5,1.4609,40.0,57.0,76.0,459,75.8,4.78,-1,0.542,angry/tense
qwen3-max,free-form,codegen,Echoes in the Static,C,minor,1.568,,,minor,,0.883,2.7637,4.1741,,0.25,0.6838,1.0,0.9891,8.5893,3,2,2.28,52.6,15,0.0,0.9999,8.226,1.7143,0.8635,22.0,47.0,66.0,41,76.4,0.49,-1,0.136,sad/depressed
llama-4-maverick,free-form,codegen,Self-Expression,C,major,1.426,,,major,,1.0,1.5567,1.9502,,1.0,1.0,0.0,1.0,2.0,1,1,1.04,90.0,0,0.0,0.9999,5.37,1.4737,0.8252,4.0,12.0,120.0,20,16.0,0.62,1,0.444,serene/content
opus-4.8,free-form,codegen,Threshold,D,minor,1.286,,,minor,,1.0,2.7219,4.7038,,0.4762,0.8259,2.161,0.959,3.9922,3,2,4.69,53.3,44,0.0,1.0,13.798,1.0081,1.5635,32.0,58.0,120.0,219,64.0,1.71,-1,0.553,angry/tense
